OBJECTID,tipo_muestra,longitude,latitude,Departamento,Municipio,tecnica_medicion,Li_ppm2,Cu_ppm2,Co_ppm2,Ni_ppm2,La_ppm2,Ce_ppm2,Pr_ppm2,Nd_ppm2,Sm_ppm2,Eu_ppm2,Gd_ppm2,Tb_ppm2,Dy_ppm2,Ho_ppm2,Er_ppm2,Tm_ppm2,Yb_ppm2,Lu_ppm2,Sc_ppm2,Y_ppm2
3239,SU: Suelo,-74.61836401,5.719135236,CUNDINAMARCA,PUERTO SALGAR,Activación neutrónica,,,15,,42.5,71,,39,6.9,1.6,,-0.5,,,,,3.2,0.49,17.9,
3240,SU: Suelo,-74.61836401,5.719135236,CUNDINAMARCA,PUERTO SALGAR,Plasma (ICP),,32,,32,,,,,,,,,,,,,,,,15
3266,SU: Suelo,-74.9925667,5.721725781,ANTIOQUIA,ARGELIA,ICP,,,24,,11.9,49,,8,2.3,0.5,,-0.5,,,,,1.3,0.23,16.6,
3267,SU: Suelo,-74.9925667,5.721725781,ANTIOQUIA,ARGELIA,Plasma (ICP),,27,,39,,,,,,,,,,,,,,,,-1
3279,SU: Suelo,-74.31910184,5.723661628,BOYACA,YACOPÍ,Activación neutrónica,,,2,,22.8,36,,22,2.1,-0.2,,-0.5,,,,,1.3,0.2,7.7,
3280,SU: Suelo,-74.31910184,5.723661628,BOYACA,YACOPÍ,Plasma (ICP),,12,,45,,,,,,,,,,,,,,,,5
3303,SU: Suelo,-74.7303907,5.725167448,CALDAS,SONSÓN,ICP,,,19,,39.4,78,,35,6.8,1.7,,1.1,,,,,3.5,0.53,19.1,
3304,SU: Suelo,-74.7303907,5.725167448,CALDAS,SONSÓN,Plasma (ICP),,54,,51,,,,,,,,,,,,,,,,15
3317,SU: Suelo,-74.66855339,5.725279736,CUNDINAMARCA,LA DORADA,ICP,,,12,,34.9,58,,28,6.3,1.8,,1.1,,,,,3.3,0.5,13.2,
3318,SU: Suelo,-74.66855339,5.725279736,CUNDINAMARCA,LA DORADA,Plasma (ICP),,20,,19,,,,,,,,,,,,,,,,13
3331,SU: Suelo,-74.83303419,5.728278427,ANTIOQUIA,SONSÓN,ICP,,,17,,39.3,65,,21,5.8,1.1,,1,,,,,3.1,0.5,14.7,
3332,SU: Suelo,-74.83303419,5.728278427,ANTIOQUIA,SONSÓN,Plasma (ICP),,31,,40,,,,,,,,,,,,,,,,11
3357,SU: Suelo,-75.12020943,5.730892874,ANTIOQUIA,ARGELIA,ICP,,,10,,12.2,33,,20,3.6,0.9,,-0.5,,,,,1.7,0.29,17.5,
3358,SU: Suelo,-75.12020943,5.730892874,ANTIOQUIA,ARGELIA,Plasma (ICP),,9,,10,,,,,,,,,,,,,,,,3
3370,SU: Suelo,-75.12020943,5.730892874,ANTIOQUIA,ARGELIA,ICP,,,10,,10.8,31,,16,3.4,0.9,,-0.5,,,,,1.6,0.27,16.9,
3371,SU: Suelo,-75.12020943,5.730892874,ANTIOQUIA,ARGELIA,Plasma (ICP),,6,,12,,,,,,,,,,,,,,,,6
3416,SU: Suelo,-74.52088359,5.740107039,CUNDINAMARCA,PUERTO SALGAR,Activación neutrónica,,,15,,33.3,53,,25,5.4,1.7,,0.8,,,,,1.7,0.23,13.9,
3417,SU: Suelo,-74.52088359,5.740107039,CUNDINAMARCA,PUERTO SALGAR,Plasma (ICP),,13,,31,,,,,,,,,,,,,,,,13
3470,SU: Suelo,-74.41918579,5.742808242,CUNDINAMARCA,YACOPÍ,Activación neutrónica,,,30,,24.7,43,,23,5.1,1,,-0.5,,,,,3,0.46,22.5,
3471,SU: Suelo,-74.41918579,5.742808242,CUNDINAMARCA,YACOPÍ,Plasma (ICP),,43,,42,,,,,,,,,,,,,,,,11
3977,SU: Suelo,-74.72908237,5.749582904,CALDAS,SONSÓN,ICP,,,19,,32,63,,23,5.6,1.3,,1,,,,,3.2,0.5,17.4,
3978,SU: Suelo,-74.72908237,5.749582904,CALDAS,SONSÓN,Plasma (ICP),,42,,41,,,,,,,,,,,,,,,,23
4148,SU: Suelo,-74.74511618,5.750143081,ANTIOQUIA,SONSÓN,ICP,,,24,,38.6,56,,25,7.2,1.9,,1.1,,,,,2.5,0.37,15.5,
4149,SU: Suelo,-74.74511618,5.750143081,ANTIOQUIA,SONSÓN,Plasma (ICP),,12,,26,,,,,,,,,,,,,,,,11
4479,R: Roca,-76.12192941,3.879579083,VALLE DEL CAUCA,GUADALAJARA DE BUGA,Activación neutrónica,,,,50,,,,,,,,,,,,,,,,11
4481,R: Roca,-76.16105839,3.893201894,VALLE DEL CAUCA,GUADALAJARA DE BUGA,Activación neutrónica,,,,75,,,,,,,,,,,,,,,,28
4483,R: Roca,-76.14878487,3.889355218,VALLE DEL CAUCA,GUADALAJARA DE BUGA,Activación neutrónica,,,,112,,,,,,,,,,,,,,,,17
4485,R: Roca,-76.11634699,3.705284718,VALLE DEL CAUCA,GINEBRA,Activación neutrónica,,,,151,,,,,,,,,,,,,,,,17
4487,R: Roca,-76.17923089,3.562393703,VALLE DEL CAUCA,PALMIRA,Activación neutrónica,,,,144,3.44,9.41,,6.44,2.08,0.75,2.62,0.46,,,,0.32,1.68,0.26,,18
4491,R: Roca,-76.16844452,3.553498508,VALLE DEL CAUCA,PALMIRA,Activación neutrónica,,,,139,2.79,7.64,,5.73,1.85,0.7,2.33,0.43,,,,0.29,1.68,0.28,,15
4493,R: Roca,-76.16894316,3.535241969,VALLE DEL CAUCA,PALMIRA,Activación neutrónica,,,,115,,,,,,,,,,,,,,,,16
4495,R: Roca,-76.16506605,3.547008329,VALLE DEL CAUCA,PALMIRA,Activación neutrónica,,,,118,,,,,,,,,,,,,,,,16
4497,R: Roca,-76.16690803,3.609696148,VALLE DEL CAUCA,PALMIRA,Activación neutrónica,,,,94,3.22,9.57,,8.67,2.85,1.04,3.63,0.68,,,,0.49,2.55,0.41,,25
4499,R: Roca,-76.15757689,3.612157727,VALLE DEL CAUCA,EL CERRITO,Activación neutrónica,,,,96,8.94,21.02,,14.09,3.67,1.26,4.08,0.68,,,,0.35,2.05,0.31,,21
4501,R: Roca,-76.12565079,3.619035849,VALLE DEL CAUCA,EL CERRITO,Activación neutrónica,,,,140,3.71,9.38,,7.33,2.2,0.81,2.75,0.52,,,,0.34,1.85,0.31,,18
4503,R: Roca,-76.13203407,3.61755727,VALLE DEL CAUCA,EL CERRITO,Activación neutrónica,,,,136,,,,,,,,,,,,,,,,19
4505,R: Roca,-76.60160275,3.490100121,VALLE DEL CAUCA,CALI,Activación neutrónica,,,,78,3.44,10.24,,6.97,2.76,0.99,4.23,0.67,,,,0.58,2.77,0.49,,30
4507,R: Roca,-76.74043904,3.52667189,VALLE DEL CAUCA,DAGUA,Activación neutrónica,,,,101,,,,,,,,,,,,,,,,24
4509,R: Roca,-76.76002994,3.542667802,VALLE DEL CAUCA,DAGUA,Activación neutrónica,,,,74,,,,,,,,,,,,,,,,39
4513,R: Roca,-76.74043391,3.531179669,VALLE DEL CAUCA,DAGUA,Activación neutrónica,,,,90,,,,,,,,,,,,,,,,21
4515,R: Roca,-76.75675235,3.568919561,VALLE DEL CAUCA,DAGUA,Activación neutrónica,,,,97,,,,,,,,,,,,,,,,22
