OBJECTID,tipo_muestra,longitude,latitude,Departamento,Municipio,tecnica_medicion,Li_ppm2,Cu_ppm2,Co_ppm2,Ni_ppm2,La_ppm2,Ce_ppm2,Pr_ppm2,Nd_ppm2,Sm_ppm2,Eu_ppm2,Gd_ppm2,Tb_ppm2,Dy_ppm2,Ho_ppm2,Er_ppm2,Tm_ppm2,Yb_ppm2,Lu_ppm2,Sc_ppm2,Y_ppm2
22267,R: Roca,-73.79418158,8.907308928,CESAR,TAMALAMEQUE,Plasma (ICP),6,19.7,0.5,1.9,36.6,69.2,,,,,,,,,,,,,8.4,14.6
22269,R: Roca,-73.93713301,9.008356377,MAGDALENA,EL BANCO,Plasma (ICP),8,8.3,6.9,3.6,18.8,41.1,,,,,,,,,,,,,8.3,9.1
22271,R: Roca,-73.95727247,9.02351697,MAGDALENA,EL BANCO,Plasma (ICP),20,3005.3,26.2,15,14.7,29.4,,,,,,,,,,,,,9.1,11.7
22273,R: Roca,-73.95727247,9.02351697,MAGDALENA,EL BANCO,Plasma (ICP),17,888.3,25.1,10.8,13.9,29.4,,,,,,,,,,,,,26.7,20.3
22275,R: Roca,-73.9572088,9.023525991,MAGDALENA,EL BANCO,Plasma (ICP),5,53.4,3.5,5.3,27,50.3,,,,,,,,,,,,,8.7,12.7
22277,R: Roca,-73.84666962,9.008265553,MAGDALENA,EL BANCO,Plasma (ICP),22,1437.3,17.8,10.7,2.8,5.83,,,,,,,,,,,,,1.6,3.1
22279,R: Roca,-73.79401826,8.906883858,CESAR,TAMALAMEQUE,Plasma (ICP),3,88.3,13.5,10.8,42.1,84,,,,,,,,,,,,,12.5,12.9
22281,R: Roca,-73.79400007,8.906892885,CESAR,TAMALAMEQUE,Plasma (ICP),3,75.7,16.3,11.9,44,84.5,,,,,,,,,,,,,12.5,18.4
22283,R: Roca,-73.79400007,8.906892885,CESAR,TAMALAMEQUE,Plasma (ICP),3,82.1,5.1,5.8,62.1,121.1,,,,,,,,,,,,,11.4,19.6
22285,SU: Suelo,-74.71589502,6.028277957,ANTIOQUIA,PUERTO NARE,ICP,,,5,,26.9,68,,18,3.9,0.7,,0.7,,,,,2.3,0.37,12.8,
22286,SU: Suelo,-74.71589502,6.028277957,ANTIOQUIA,PUERTO NARE,Plasma (ICP),,21,,40,,,,,,,,,,,,,,,,9
22289,R: Roca,-73.79400007,8.906892885,CESAR,TAMALAMEQUE,Plasma (ICP),2,94.7,16,8.3,38.2,75.6,,,,,,,,,,,,,13.1,16.2
22291,R: Roca,-73.79398187,8.906901913,CESAR,TAMALAMEQUE,Plasma (ICP),2,138.2,23.9,11.6,60.7,125.7,,,,,,,,,,,,,11.7,36.5
22293,R: Roca,-73.79398187,8.906901913,CESAR,TAMALAMEQUE,Plasma (ICP),2,166.9,3.9,12.1,54.5,111.1,,,,,,,,,,,,,11.4,38.5
22295,R: Roca,-73.79395459,8.906910933,CESAR,TAMALAMEQUE,Plasma (ICP),3,61.2,7.3,10.8,34,68.4,,,,,,,,,,,,,12.1,16.3
22297,R: Roca,-73.7939364,8.906919961,CESAR,TAMALAMEQUE,Plasma (ICP),2,50,2.2,9.4,34,66.6,,,,,,,,,,,,,12,15
22299,R: Roca,-73.79391821,8.906928988,CESAR,TAMALAMEQUE,Plasma (ICP),3,75,2.7,12.1,52.6,107.2,,,,,,,,,,,,,14.9,24.1
22301,R: Roca,-73.79302779,8.906159789,CESAR,TAMALAMEQUE,Plasma (ICP),10,85.7,2.8,17.2,19.7,37.8,,,,,,,,,,,,,11.7,25.8
22303,R: Roca,-73.79357329,8.90618733,CESAR,TAMALAMEQUE,Plasma (ICP),4,72.7,0.7,7.2,28.5,56.2,,,,,,,,,,,,,11.9,17.6
22305,R: Roca,-73.79356419,8.906196364,CESAR,TAMALAMEQUE,Plasma (ICP),3,70.3,0.5,5.8,30.4,59.5,,,,,,,,,,,,,12.1,16.5
22307,R: Roca,-73.79353691,8.906205385,CESAR,TAMALAMEQUE,Plasma (ICP),4,54.7,0.3,6.8,29.2,58,,,,,,,,,,,,,13,20.6
22310,R: Roca,-73.79357329,8.90618733,CESAR,TAMALAMEQUE,Plasma (ICP),5,34.5,0.3,1.2,30.9,61.1,,,,,,,,,,,,,8.8,14.9
22312,R: Roca,-73.79356419,8.906196364,CESAR,TAMALAMEQUE,Plasma (ICP),7,53.9,0.3,-0.5,25.4,50,,,,,,,,,,,,,6.9,9.4
22314,R: Roca,-73.79356419,8.906196364,CESAR,TAMALAMEQUE,Plasma (ICP),6,89.6,2.9,1.2,23.3,45.7,,,,,,,,,,,,,6.9,6
22316,R: Roca,-73.79356419,8.906196364,CESAR,TAMALAMEQUE,Plasma (ICP),7,3731.1,2.5,4.2,22.3,44.8,,,,,,,,,,,,,6,7.2
22318,R: Roca,-73.79356419,8.906196364,CESAR,TAMALAMEQUE,Plasma (ICP),6,454.4,3.1,3.9,20.2,41.3,,,,,,,,,,,,,5.7,6.8
22320,R: Roca,-73.79356419,8.906196364,CESAR,TAMALAMEQUE,Plasma (ICP),7,484.6,2.4,1.1,19,38.7,,,,,,,,,,,,,6.4,9.4
22322,R: Roca,-73.79353691,8.906205385,CESAR,TAMALAMEQUE,Plasma (ICP),7,168.6,0.1,0.8,17.6,36.1,,,,,,,,,,,,,4.4,9.5
22324,R: Roca,-73.79353691,8.906205385,CESAR,TAMALAMEQUE,Plasma (ICP),5,90.8,0.2,-0.5,23.6,50.1,,,,,,,,,,,,,5.9,11.3
22326,R: Roca,-73.79344598,8.906214357,CESAR,TAMALAMEQUE,Plasma (ICP),7,78.5,1.1,-0.5,16.3,33.8,,,,,,,,,,,,,5.6,8.2
22328,R: Roca,-73.79343688,8.906223391,CESAR,TAMALAMEQUE,Plasma (ICP),13,286.8,6.6,4,32.7,68.9,,,,,,,,,,,,,6.8,11.3
22331,R: Roca,-73.79343688,8.906223391,CESAR,TAMALAMEQUE,Plasma (ICP),12,351.9,9.3,4.1,33.5,72.2,,,,,,,,,,,,,6.8,12.5
22333,R: Roca,-73.79343688,8.906223391,CESAR,TAMALAMEQUE,Plasma (ICP),8,113.8,-0.1,-0.5,22.1,46.9,,,,,,,,,,,,,5.1,8.9
22335,R: Roca,-73.79343688,8.906223391,CESAR,TAMALAMEQUE,Plasma (ICP),6,431.3,0.4,-0.5,73.6,166.9,,,,,,,,,,,,,10.3,46.9
22337,R: Roca,-73.79344596,8.906241481,CESAR,TAMALAMEQUE,Plasma (ICP),6,757.4,0.6,-0.5,36.3,72.5,,,,,,,,,,,,,6.8,14.8
22339,R: Roca,-73.79343688,8.906223391,CESAR,TAMALAMEQUE,Plasma (ICP),8,86.3,3.5,1.4,25.4,52,,,,,,,,,,,,,6.3,9.9
22341,R: Roca,-73.79343688,8.906223391,CESAR,TAMALAMEQUE,Plasma (ICP),5,91,0.7,4,15.2,29.9,,,,,,,,,,,,,8.9,3.7
22343,R: Roca,-73.79344596,8.906241481,CESAR,TAMALAMEQUE,Plasma (ICP),6,464.3,2.9,18.7,24.1,48.2,,,,,,,,,,,,,13.9,8.4
22345,R: Roca,-73.79344596,8.906241481,CESAR,TAMALAMEQUE,Plasma (ICP),9,46.6,4.1,2.5,24.8,49.1,,,,,,,,,,,,,6.9,10.7
22347,R: Roca,-73.79344596,8.906241481,CESAR,TAMALAMEQUE,Plasma (ICP),4,531.2,9.8,3.6,31.7,65,,,,,,,,,,,,,9.4,11.8
22349,R: Roca,-73.79344596,8.906241481,CESAR,TAMALAMEQUE,Plasma (ICP),9,35.6,8.1,2.7,24.7,49.5,,,,,,,,,,,,,7.2,18
22352,R: Roca,-73.79344596,8.906241481,CESAR,TAMALAMEQUE,Plasma (ICP),11,24.3,6.7,5.3,23,46.5,,,,,,,,,,,,,7.3,11
22354,R: Roca,-73.79303688,8.906168837,CESAR,TAMALAMEQUE,Plasma (ICP),3,2844,1.1,12.4,24.5,49.1,,,,,,,,,,,,,14.7,11.2
22356,R: Roca,-73.79333685,8.906250439,CESAR,TAMALAMEQUE,Plasma (ICP),7,35.9,6,4.3,23.8,49.8,,,,,,,,,,,,,7.2,11.9
22358,R: Roca,-73.79334593,8.906259487,CESAR,TAMALAMEQUE,Plasma (ICP),5,1041.6,15.6,4,16.8,36.3,,,,,,,,,,,,,7.2,10.6
22360,R: Roca,-73.79334593,8.906259487,CESAR,TAMALAMEQUE,Plasma (ICP),5,176.5,4.7,-0.5,23.2,45.4,,,,,,,,,,,,,6.6,6.7
22362,R: Roca,-73.79334593,8.906259487,CESAR,TAMALAMEQUE,Plasma (ICP),8,84.6,5.6,-0.5,21.5,43.7,,,,,,,,,,,,,6.6,14
22364,R: Roca,-73.79334593,8.906259487,CESAR,TAMALAMEQUE,Plasma (ICP),9,1228.2,12.6,3.5,27.8,59.7,,,,,,,,,,,,,8.7,26.1
22366,R: Roca,-73.79303688,8.906168837,CESAR,TAMALAMEQUE,Plasma (ICP),8,44.2,6.2,2.4,23.3,46.8,,,,,,,,,,,,,7,11.8
22368,R: Roca,-73.79356419,8.906196364,CESAR,TAMALAMEQUE,Plasma (ICP),11,35.7,5.9,1.8,20.3,41.1,,,,,,,,,,,,,7.2,15.8
22370,R: Roca,-73.79353691,8.906205385,CESAR,TAMALAMEQUE,Plasma (ICP),11,150.2,4.7,5.1,32.1,66.4,,,,,,,,,,,,,7.5,32.6
22373,R: Roca,-73.79353691,8.906205385,CESAR,TAMALAMEQUE,Plasma (ICP),4,287,9.9,20.2,22.7,46.7,,,,,,,,,,,,,10.2,14.4
22375,R: Roca,-73.79353691,8.906205385,CESAR,TAMALAMEQUE,Plasma (ICP),10,304.1,4.6,57,38,74,,,,,,,,,,,,,16.2,26.5
22377,R: Roca,-73.79344598,8.906214357,CESAR,TAMALAMEQUE,Plasma (ICP),7,26.1,4.1,37.5,33.9,66.4,,,,,,,,,,,,,16.2,27.2
22379,R: Roca,-73.79344598,8.906214357,CESAR,TAMALAMEQUE,Plasma (ICP),5,390.9,4.8,28.3,31.9,62.2,,,,,,,,,,,,,14.3,18.2
22381,R: Roca,-73.79344598,8.906214357,CESAR,TAMALAMEQUE,Plasma (ICP),4,419.3,5.6,36.2,34.9,67.7,,,,,,,,,,,,,13.6,18.7
22383,R: Roca,-73.79343688,8.906223391,CESAR,TAMALAMEQUE,Plasma (ICP),4,29.9,0.7,8.9,27.8,53.9,,,,,,,,,,,,,16.7,9.4
22385,R: Roca,-73.79359144,8.90623255,CESAR,TAMALAMEQUE,Plasma (ICP),5,61.6,0.6,6.8,22.8,45.2,,,,,,,,,,,,,15.7,10.3
22387,R: Roca,-73.79359144,8.90623255,CESAR,TAMALAMEQUE,Plasma (ICP),39,81.6,24.8,11,23,50.4,,,,,,,,,,,,,24.6,11.8
22389,R: Roca,-73.79344596,8.906241481,CESAR,TAMALAMEQUE,Plasma (ICP),19,48.8,9.3,2.9,20.4,42.8,,,,,,,,,,,,,9.1,10.5
22391,R: Roca,-73.79344596,8.906241481,CESAR,TAMALAMEQUE,Plasma (ICP),11,16.9,5.6,0.7,25.1,51.1,,,,,,,,,,,,,9,8.3
22394,R: Roca,-73.79339138,8.906277605,CESAR,TAMALAMEQUE,Plasma (ICP),4,2221.7,2.8,34.1,25.4,51.4,,,,,,,,,,,,,16.4,14.1
22396,R: Roca,-73.79343688,8.906223391,CESAR,TAMALAMEQUE,Plasma (ICP),5,20.2,6.9,36.2,37.6,71.5,,,,,,,,,,,,,17.4,38
22398,R: Roca,-73.79391821,8.906928988,CESAR,TAMALAMEQUE,Plasma (ICP),4,59.3,11,16.7,30.2,62,,,,,,,,,,,,,16.7,13.1
22400,R: Roca,-73.79388184,8.906938002,CESAR,TAMALAMEQUE,Plasma (ICP),3,52,6.7,23.6,22.1,43.5,,,,,,,,,,,,,11.7,11.8
22402,R: Roca,-73.79388184,8.906938002,CESAR,TAMALAMEQUE,Plasma (ICP),3,59.4,8.1,21.8,26.6,52.8,,,,,,,,,,,,,13.8,12
22404,R: Roca,-73.79388184,8.906938002,CESAR,TAMALAMEQUE,Plasma (ICP),4,44.1,6.5,26.4,25.1,50.8,,,,,,,,,,,,,16.2,14.5
22406,R: Roca,-73.79386364,8.90694703,CESAR,TAMALAMEQUE,Plasma (ICP),4,33,7.8,28.3,18.8,40.1,,,,,,,,,,,,,15.4,13.3
22408,R: Roca,-73.79384545,8.906956057,CESAR,TAMALAMEQUE,Plasma (ICP),5,30,20.6,34.9,19,45.2,,,,,,,,,,,,,21.2,18
22410,R: Roca,-73.79382726,8.906965085,CESAR,TAMALAMEQUE,Plasma (ICP),5,29.2,10.1,27.9,26.4,53.4,,,,,,,,,,,,,16.5,14.3
22412,R: Roca,-73.79381816,8.906974119,CESAR,TAMALAMEQUE,Plasma (ICP),15,29,15.7,35.9,26.5,61.4,,,,,,,,,,,,,16.6,15.2
22415,R: Roca,-73.79381816,8.906974119,CESAR,TAMALAMEQUE,Plasma (ICP),10,31.5,13.7,48.4,39.7,82,,,,,,,,,,,,,15.8,29.6
22417,R: Roca,-73.79378179,8.906983133,CESAR,TAMALAMEQUE,Plasma (ICP),7,43.7,17,20.2,35.1,71.9,,,,,,,,,,,,,13.9,17.4
22419,R: Roca,-73.7937636,8.90699216,CESAR,TAMALAMEQUE,Plasma (ICP),4,45.9,3.3,10.4,29.2,52.3,,,,,,,,,,,,,13.7,10.9
22421,R: Roca,-73.7937636,8.90699216,CESAR,TAMALAMEQUE,Plasma (ICP),4,59.7,3.8,10.9,25.9,48.1,,,,,,,,,,,,,12,10.1
22423,R: Roca,-73.79373632,8.907001181,CESAR,TAMALAMEQUE,Plasma (ICP),4,55.6,0.3,5,19.6,40,,,,,,,,,,,,,11.8,10
22425,R: Roca,-73.79371812,8.907010209,CESAR,TAMALAMEQUE,Plasma (ICP),3,26,0.3,17.8,20.3,39.6,,,,,,,,,,,,,15.4,8.1
22427,R: Roca,-73.79371812,8.907010209,CESAR,TAMALAMEQUE,Plasma (ICP),5,30.7,0.4,23.6,33.7,65.6,,,,,,,,,,,,,19.6,12.8
22429,R: Roca,-73.79369993,8.907019236,CESAR,TAMALAMEQUE,Plasma (ICP),4,15,0.3,37,41.6,81.4,,,,,,,,,,,,,20.4,16.7
22431,R: Roca,-73.79369993,8.907019236,CESAR,TAMALAMEQUE,Plasma (ICP),5,14,0.4,42.9,41.1,81,,,,,,,,,,,,,19.8,15.1
22433,R: Roca,-73.79369993,8.907019236,CESAR,TAMALAMEQUE,Plasma (ICP),6,70,0.7,8.2,46.4,98.1,,,,,,,,,,,,,14.1,15.3
22436,R: Roca,-73.79369993,8.907019236,CESAR,TAMALAMEQUE,Plasma (ICP),4,66.4,0.6,5.6,45,100.9,,,,,,,,,,,,,20,22.2
22438,R: Roca,-73.79369083,8.907028271,CESAR,TAMALAMEQUE,Plasma (ICP),4,17.1,0.4,7.4,28.1,59.3,,,,,,,,,,,,,21.1,12.1
22440,R: Roca,-73.79367264,8.907037298,CESAR,TAMALAMEQUE,Plasma (ICP),5,22.4,0.4,7.6,23.2,47,,,,,,,,,,,,,17.9,9
22442,R: Roca,-73.79367264,8.907037298,CESAR,TAMALAMEQUE,Plasma (ICP),5,29,0.5,11.8,34.6,67.5,,,,,,,,,,,,,20.9,11.5
22444,R: Roca,-73.79362718,8.907046305,CESAR,TAMALAMEQUE,Plasma (ICP),5,34.4,0.2,9.2,19.4,37.3,,,,,,,,,,,,,18.8,10
22446,R: Roca,-73.79362718,8.907046305,CESAR,TAMALAMEQUE,Plasma (ICP),4,51.6,0.3,3.1,26.3,50.5,,,,,,,,,,,,,13.7,12.5
22448,R: Roca,-73.79361808,8.907055339,CESAR,TAMALAMEQUE,Plasma (ICP),5,36.3,0.4,1.4,19,37.2,,,,,,,,,,,,,7.6,7.7
22450,R: Roca,-73.79361808,8.907055339,CESAR,TAMALAMEQUE,Plasma (ICP),5,46.3,0.3,1.6,24.7,43.7,,,,,,,,,,,,,8,11.1
22452,R: Roca,-73.7899995,8.907025437,CESAR,TAMALAMEQUE,Plasma (ICP),6,48.3,0.5,1.9,23.1,48.2,,,,,,,,,,,,,7.5,7.1
22454,R: Roca,-73.7899995,8.907025437,CESAR,TAMALAMEQUE,Plasma (ICP),6,33.4,0.4,1.2,17.2,34.5,,,,,,,,,,,,,6.7,6.9
22457,R: Roca,-73.7935726,8.907073387,CESAR,TAMALAMEQUE,Plasma (ICP),6,478.5,9.4,2.5,25.1,53.5,,,,,,,,,,,,,11,18.2
22459,R: Roca,-73.7935726,8.907073387,CESAR,TAMALAMEQUE,Plasma (ICP),13,762,7.9,2,25.3,58.1,,,,,,,,,,,,,8.3,17
22461,R: Roca,-73.79355441,8.907082415,CESAR,TAMALAMEQUE,Plasma (ICP),7,51,5.2,3,23.3,46.9,,,,,,,,,,,,,6.6,10.2
22463,R: Roca,-73.79355441,8.907082415,CESAR,TAMALAMEQUE,Plasma (ICP),7,268.1,6.8,14.9,18.6,40.2,,,,,,,,,,,,,16.4,13.4
22465,R: Roca,-73.79351804,8.907091429,CESAR,TAMALAMEQUE,Plasma (ICP),10,20.9,5.8,3.4,22.1,44.9,,,,,,,,,,,,,7.8,12.1
22467,R: Roca,-73.79351804,8.907091429,CESAR,TAMALAMEQUE,Plasma (ICP),17,1113.7,11.5,3,28.5,61.2,,,,,,,,,,,,,9.8,33.2
22469,R: Roca,-73.79349076,8.907100449,CESAR,TAMALAMEQUE,Plasma (ICP),9,204.4,6.6,2,22.8,46.1,,,,,,,,,,,,,7.5,13.2
22471,R: Roca,-73.79349076,8.907100449,CESAR,TAMALAMEQUE,Plasma (ICP),8,313,7.3,2,24,48.3,,,,,,,,,,,,,8.5,15.7
22473,R: Roca,-73.79349076,8.907100449,CESAR,TAMALAMEQUE,Plasma (ICP),6,1303.1,9,1.8,22.9,51.4,,,,,,,,,,,,,7.3,18.2
22475,R: Roca,-73.79349076,8.907100449,CESAR,TAMALAMEQUE,Plasma (ICP),9,161.3,6.4,1.8,22,45.2,,,,,,,,,,,,,7.8,14.7
22478,R: Roca,-73.79344529,8.907109456,CESAR,TAMALAMEQUE,Plasma (ICP),10,17.8,5.8,1.9,19.9,39.8,,,,,,,,,,,,,7.9,12.2
22480,R: Roca,-73.79344529,8.907109456,CESAR,TAMALAMEQUE,Plasma (ICP),16,52.5,4.9,1.7,24.8,50.1,,,,,,,,,,,,,7.4,11
22482,R: Roca,-73.79344529,8.907109456,CESAR,TAMALAMEQUE,Plasma (ICP),16,56.1,5.2,2.8,25.7,51.8,,,,,,,,,,,,,7.3,10.6
22484,R: Roca,-73.5676941,9.063434015,CESAR,PAILITAS,Plasma (ICP),19,17.9,8.6,25.3,38.9,67.7,,,,,,,,,,,,,26.2,30.8
22486,R: Roca,-73.5676941,9.063434015,CESAR,PAILITAS,Plasma (ICP),19,31.5,7.2,24.6,41.5,85.9,,,,,,,,,,,,,23.4,34.5
22488,R: Roca,-73.56771228,9.063443082,CESAR,PAILITAS,Plasma (ICP),21,32.8,8.5,23.5,37.8,75.8,,,,,,,,,,,,,25.7,32.5
22490,R: Roca,-73.56780322,9.063452249,CESAR,PAILITAS,Plasma (ICP),21,26.1,12.6,25.6,38.5,73,,,,,,,,,,,,,24.2,33.7
22492,R: Roca,-73.56780322,9.063452249,CESAR,PAILITAS,Plasma (ICP),30,24.8,13,25,42.1,102.3,,,,,,,,,,,,,24.4,35.4
22494,R: Roca,-73.56784869,9.063461354,CESAR,PAILITAS,Plasma (ICP),24,25,12.2,23.1,29.4,76.1,,,,,,,,,,,,,23.9,25.1
22496,R: Roca,-73.56784869,9.063461354,CESAR,PAILITAS,Plasma (ICP),30,19.1,13.6,20.9,32.4,66.9,,,,,,,,,,,,,23.6,26.1
22500,R: Roca,-73.56787596,9.063470433,CESAR,PAILITAS,Plasma (ICP),33,23.9,17.8,25.3,17.1,61.5,,,,,,,,,,,,,19.6,15.7
22502,R: Roca,-73.56783912,9.063795861,CESAR,PAILITAS,Plasma (ICP),26,21,11.5,22.4,38.2,72.5,,,,,,,,,,,,,21.7,35.1
22504,R: Roca,-73.56786654,9.063705488,CESAR,PAILITAS,Plasma (ICP),24,19.1,10.7,28.8,30,63.6,,,,,,,,,,,,,21.5,28.2
22506,R: Roca,-73.56785738,9.063750681,CESAR,PAILITAS,Plasma (ICP),21,16.5,9.8,19.5,25.4,54.8,,,,,,,,,,,,,16.9,23.9
22508,R: Roca,-73.56788465,9.06375976,CESAR,PAILITAS,Plasma (ICP),25,13.6,12.7,20.7,32.6,74.2,,,,,,,,,,,,,19.4,28.1
22510,R: Roca,-73.56788465,9.06375976,CESAR,PAILITAS,Plasma (ICP),27,18,14.7,22,32.8,80,,,,,,,,,,,,,22.3,25.4
22512,R: Roca,-73.56786632,9.063859187,CESAR,PAILITAS,Plasma (ICP),30,15,12.2,18.6,37.3,64.1,,,,,,,,,,,,,19.7,36
22514,R: Roca,-73.5678845,9.063868253,CESAR,PAILITAS,Plasma (ICP),23,19.4,12.5,18.1,29.8,54.9,,,,,,,,,,,,,20.6,35.1
22516,R: Roca,-73.56789358,9.063877307,CESAR,PAILITAS,Plasma (ICP),27,18.8,13.1,27.7,39.2,67.1,,,,,,,,,,,,,21.5,43.1
22518,R: Roca,-73.56789358,9.063877307,CESAR,PAILITAS,Plasma (ICP),11,8.1,8.6,14.7,12,29.4,,,,,,,,,,,,,9.1,7.9
22521,R: Roca,-73.56789358,9.063877307,CESAR,PAILITAS,Plasma (ICP),15,8,8.3,20.2,15.6,36.5,,,,,,,,,,,,,9.2,9.6
22523,R: Roca,-73.56791167,9.063949661,CESAR,PAILITAS,Plasma (ICP),16,27.6,10.6,17,33.8,55.5,,,,,,,,,,,,,13.2,22.3
22525,R: Roca,-73.56792985,9.063958727,CESAR,PAILITAS,Plasma (ICP),19,25.8,19.8,14.1,18.8,37.4,,,,,,,,,,,,,11.8,17.9
22527,R: Roca,-73.56793893,9.063967781,CESAR,PAILITAS,Plasma (ICP),22,8.1,2.1,15.9,13.7,28.5,,,,,,,,,,,,,5.7,9.4
22529,R: Roca,-73.55869703,9.064479176,CESAR,CHIMICHAGUA,Plasma (ICP),16,6.3,8.9,12.1,42.6,81.8,,,,,,,,,,,,,13.6,37.6
22531,R: Roca,-73.55870611,9.06448823,CESAR,CHIMICHAGUA,Plasma (ICP),36,10.9,9.9,11.6,36.6,73.1,,,,,,,,,,,,,12.8,36.9
22533,R: Roca,-73.55869706,9.064461094,CESAR,CHIMICHAGUA,Plasma (ICP),45,13.2,9.9,12.5,40.3,74.2,,,,,,,,,,,,,13.2,46.2
22535,R: Roca,-73.55870611,9.06448823,CESAR,CHIMICHAGUA,Plasma (ICP),13,3.2,4.7,13,34,62.4,,,,,,,,,,,,,11.9,29.7
22537,R: Roca,-73.55865153,9.064497194,CESAR,CHIMICHAGUA,Plasma (ICP),8,5.1,4.6,12.4,38.9,77.6,,,,,,,,,,,,,13.1,32.7
22539,R: Roca,-73.55865153,9.064497194,CESAR,CHIMICHAGUA,Plasma (ICP),16,5.2,5.8,13.3,36.8,78.5,,,,,,,,,,,,,13.6,41.6
22542,R: Roca,-73.55865153,9.064497194,CESAR,CHIMICHAGUA,Plasma (ICP),22,26.2,6,11.8,32.9,64.9,,,,,,,,,,,,,12,33.4
22544,R: Roca,-73.55874246,9.064515405,CESAR,CHIMICHAGUA,Plasma (ICP),33,25.2,17.4,13.4,24.4,53.2,,,,,,,,,,,,,11.5,14.6
22546,R: Roca,-73.5587242,9.064560584,CESAR,CHIMICHAGUA,Plasma (ICP),9,9.5,8.8,13.6,34.9,73.1,,,,,,,,,,,,,15.7,32.8
22548,R: Roca,-73.55874238,9.064569651,CESAR,CHIMICHAGUA,Plasma (ICP),12,11.5,11,15.1,29.5,63,,,,,,,,,,,,,14.9,40.9
22550,R: Roca,-73.55875146,9.064578705,CESAR,CHIMICHAGUA,Plasma (ICP),12,11,6.6,17.4,24.3,49.3,,,,,,,,,,,,,11.5,25.5
22552,R: Roca,-73.55876054,9.064587759,CESAR,CHIMICHAGUA,Plasma (ICP),8,5.9,22.6,14,27.5,59.9,,,,,,,,,,,,,13.9,26.2
22554,R: Roca,-73.55876052,9.064605841,CESAR,CHIMICHAGUA,Plasma (ICP),6,3.9,6.9,15,23.8,49.5,,,,,,,,,,,,,12.1,21
22556,R: Roca,-73.5587787,9.064614908,CESAR,CHIMICHAGUA,Plasma (ICP),7,5.2,11.5,15.4,24.3,55,,,,,,,,,,,,,6,11.2
22558,R: Roca,-73.61864433,9.094937557,CESAR,CURUMANÍ,Plasma (ICP),12,7.6,3.4,9.1,19.5,23.5,,,,,,,,,,,,,5.8,8.6
22560,R: Roca,-73.61864433,9.094937557,CESAR,CURUMANÍ,Plasma (ICP),11,9.8,8.4,9.5,9.2,30.1,,,,,,,,,,,,,2,3.2
22563,R: Roca,-73.61864433,9.094937557,CESAR,CURUMANÍ,Plasma (ICP),11,9.4,8.8,11.6,10,23.9,,,,,,,,,,,,,2.2,3.7
22565,R: Roca,-73.59081355,9.091664758,CESAR,CHIMICHAGUA,Plasma (ICP),5,269.9,1.3,11.4,12.5,23.4,,,,,,,,,,,,,1.7,4.4
22567,R: Roca,-73.59081355,9.091664758,CESAR,CHIMICHAGUA,Plasma (ICP),4,54.9,1.4,12.1,12.3,23.5,,,,,,,,,,,,,2.1,6.3
22569,R: Roca,-73.58256324,9.091599411,CESAR,CURUMANÍ,Plasma (ICP),11,20.7,1.1,7.6,40,55.6,,,,,,,,,,,,,3.8,8.5
22571,R: Roca,-73.58256324,9.091599411,CESAR,CURUMANÍ,Plasma (ICP),5,72.9,2.3,12.9,65.2,109,,,,,,,,,,,,,5.9,16.9
22573,R: Roca,-73.58256324,9.091599411,CESAR,CURUMANÍ,Plasma (ICP),45,23.1,0.4,18.2,4,5.78,,,,,,,,,,,,,0.7,2
22575,R: Roca,-73.58256324,9.091599411,CESAR,CURUMANÍ,Plasma (ICP),10,37.3,1.5,13.6,34.3,68.1,,,,,,,,,,,,,4,20.4
22577,R: Roca,-73.57904717,9.081965849,CESAR,CHIMICHAGUA,Plasma (ICP),23,1.6,0.3,12.5,0.7,0.95,,,,,,,,,,,,,0.5,0.3
22579,R: Roca,-73.57904717,9.081965849,CESAR,CHIMICHAGUA,Plasma (ICP),19,3.6,3.7,14.4,1.2,2.33,,,,,,,,,,,,,1,1.1
22581,R: Roca,-73.57889397,9.080925913,CESAR,CHIMICHAGUA,Plasma (ICP),8,36.8,1.5,22,18.5,28.9,,,,,,,,,,,,,6.4,10.1
22584,R: Roca,-73.79045219,8.909466967,CESAR,TAMALAMEQUE,Plasma (ICP),5,3.7,3.3,2.2,36.2,51.1,,,,,,,,,,,,,10.3,17.1
22586,R: Roca,-73.79046128,8.909476015,CESAR,TAMALAMEQUE,Plasma (ICP),6,5,4.4,2.3,20,39.7,,,,,,,,,,,,,4.8,9.2
22588,R: Roca,-73.79047035,8.909503146,CESAR,TAMALAMEQUE,Plasma (ICP),6,6.1,3.9,3.4,29.2,50.4,,,,,,,,,,,,,7.1,17.6
22590,R: Roca,-73.79047943,8.909512195,CESAR,TAMALAMEQUE,Plasma (ICP),5,4.7,4,3.3,23.5,46.8,,,,,,,,,,,,,6.1,15
22592,R: Roca,-73.7904976,8.909530291,CESAR,TAMALAMEQUE,Plasma (ICP),5,5,6,2,23.1,45.4,,,,,,,,,,,,,6.5,14.9
22594,R: Roca,-73.7905067,8.909521257,CESAR,TAMALAMEQUE,Plasma (ICP),22,11.1,60.2,7,27.2,46.8,,,,,,,,,,,,,21.9,48.5
22596,R: Roca,-73.79047035,8.909503146,CESAR,TAMALAMEQUE,Plasma (ICP),22,11.1,58.3,7.7,28.8,51.3,,,,,,,,,,,,,28.8,50.3
